Frequency Output,Frequency Input,FCC Callsign,County,State,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
46.760000,0.00000,CKE726,Durham,ON,Clarington,Darlington Provincial Park Interpark,DarlingtonPP,110.9 PL,FM,BM,Multi-Talk
46.760000,46.33000,XMK723,York,ON,Georgina Township,Sibbald Point Provincial Park  OMNR CH09,SibbaldPt PP,110.9 PL,FM,RM,Multi-Dispatch
46.940000,46.42000,XLN280,Durham,ON,Clarington,Darlington Provincial Park Operations,DarlingtonPP,127.3 PL,FM,BM,Multi-Dispatch
48.910000,0.00000,,Durham,ON,Hydro One,Hydro One,Hydro One D2,114.8 PL,FM,BM,Utilities
49.050000,0.00000,XOH530,Hamilton,ON,Dundas,Spare Work Channel,Hydro1Dundas,114.8 PL,FM,BM,Utilities
49.070000,0.00000,,Hamilton,ON,Dundas,Dispatch,Hydro1Dundas,114.8 PL,FM,BM,Utilities
49.250000,0.00000,,Durham,ON,Hydro One,Hydro One,Hydro One B3,114.8 PL,FM,BM,Utilities
53.030000,52.03000,VE3SIX,Durham,ON,6 M Band,VE3SIX  Uxbridge,VE3SIX,,FM,RM,Ham
53.090000,52.09000,VA3PTX,York,ON,6 M Band,VA3PTX  Pefferlaw,VA3PTX,,FM,RM,Ham
53.110000,52.11000,VE3WIK,Hamilton,ON,6 M Band,VE3WIK  Carlisle,VE3WIK,,FM,RM,Ham
53.130000,52.13000,VA3PWR,York,ON,6 M Band,VA3PWR  Ballantrae,VA3PWR,103.5 PL,FM,RM,Ham
53.190000,52.19000,VE3PRC,Peel,ON,6 M Band,VE3PRC  Brampton,VE3PRC,,FM,RM,Ham
53.250000,52.25000,,Peel,ON,6 M Band,VE3MIS  Mississauga,VE3MIS,,FM,RM,Ham
53.350000,52.35000,VAGGTU,Toronto,ON,6 M Band,VA3GTU  Toronto,VA3GTU,,FM,RM,Ham
53.390000,52.39000,VA3ECT,Toronto,ON,6 M Band,VA3ECT  Toronto,VA3ECT,,FM,RM,Ham
